strain_id;probiotic_name;brand;strain_name;target;status;effect;icd;class;references_linkage;reference;taxonomy_id;detailed_effect;ncbi_genome;mbgd_genome;lineage
Probio_H_00177;Bifidobacterium breve;VSL#3 packets;-;Human;Clinical trial;Rotavirus diarrhoea;"A09; K59.1";"(A00-B99) Certain infectious and parasitic diseases; (K00-K93) Diseases of the digestive system";http://www.ncbi.nlm.nih.gov/pubmed/?term=18806703;Dubey AP, Rajeshwari K, Chakravarty A, Famularo G. Use of VSL[sharp]3 in the treatment of rotavirus diarrhea in children: preliminary results. <i>J Clin Gastroenterol</i>. 2008 Sep. 42 Suppl 3 Pt 1:S126-9.;1685;[1] No effect on rotavirus diarrhoea, no immune. [2] Enhance lactose intolerance prevention of rotavirus diarrhoea.;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00178;Bifidobacterium breve;VSL#3 packets;-;Human;Clinical trial;Multi-Organ Dysfunction Syndrome (MODS);R65.2;(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified;https://www.ncbi.nlm.nih.gov/pubmed/17344505;Vijaya K Gogineni, Lee E Morrow, Mark A Malesker. Probiotics: Mechanisms of Action and Clinical Applications. <i>J Prob Health</i>. 2013. 1:1.;1685;Patients receiving viable probiotics show a greater enhancement in immune activity than do patients receiving either placebo or probiotic bacterial sonicates. Increased systemic IgA and IgG concentrations are noted but MODS scores were not significantly affected by probiotic treatment. ;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00179;Bifidobacterium breve;Yakult;-;Human;Research;Inflammatory bowel disease (IBD);K50-51;(K00-K93) Diseases of the digestive system;http://www.ncbi.nlm.nih.gov/pubmed/?term=11684822;Matsumoto S, Watanabe N, Imaoka A, Okabe Y. Preventive effects of Bifidobacterium- and Lactobacillus-fermented milk on the development of inflammatory bowel disease in senescence-accelerated mouse P1/Yit strain mice. <i>Digestion</i>. 2001. 64(2):92-9.;1685;Treatment of murine IBD.;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00180;Bifidobacterium breve;"naturewise; NutriFlair; Palm Beach Vitamins; Healthy Origins; Naturenetics; Now Foods; Intelligent Labs; Trivita; GoLive; Viva Labs; Pure Encapsulations; Now Foods; PUR Nutraceuticals; ThinkBiome; Allegany Nutrition; Adaptogen Research; PROBIOTIC; 4Xpro-B;Jarrow Formulas;Amazing4U2";Bb-03;Human;Marketed;Helps safely repopulate your gut with beneficial flora, and crowds out harmful bacteria;;Maintenance of human gut microenvironment;https://www.amazon.com/NatureWise-Maximum-Care-Time-Release-Probiotics/dp/B01E6C4FVM/ref=sr_1_1_s_it?s=hpc&ie=UTF8&qid=1479884641&sr=1-1&keywords=naturewise%2Bprobiotics&th=1;Amazon Website;1685;Help safely repopulate your gut with beneficial flora, and crowd out harmful bacteria;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00181;Bifidobacterium breve;NOW Probiotic-10;Bb-03(BB536);Human;Marketed;Irritable bowel syndrome (IBS);K58;(K00-K93) Diseases of the digestive system;http://link.springer.com/chapter/10.1007/978-3-642-20838-6_12;Yamaguishi C T, Spier M R, Lindner J D D, et al. Current Market Trends and Future Directions. <i>Probiotics</i>. 2011:299-319.;1685;Essential strain for colon health. Studies have linked digestive problems like IBS, diarrhea, gas, bloating, and allergies to low levels of B. breve. This strain is also the largest in a newborn baby’s digestive tract.;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00182;Bifidobacterium breve;-;Bb99;Human;Clinical trial;Irritable bowel syndrome (IBS);K58;(K00-K93) Diseases of the digestive system;http://www.ncbi.nlm.nih.gov/pubmed/?term=16128676;Kajander K, Hatakka K, Poussa T, Färkkilä M, Korpela R. A probiotic mixture  alleviates symptoms in irritable bowel syndrome patients: a controlled 6-month intervention. <i>Aliment Pharmacol Ther</i>. 2005 Sep 1. 22(5):387-94.;1685;effective in alleviating irritable bowel syndrome symptoms.;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00183;Bifidobacterium breve;-;Bb99;Human;Clinical trial;Anti-H. pyloria;B98.0;(A00-B99) Certain infectious and parasitic diseases;"http://www.ncbi.nlm.nih.gov/pubmed/?term=18579692; http://www.ncbi.nlm.nih.gov/pubmed/?term=15882248";"Myllyluoma E, Ahonen AM, Korpela R, Vapaatalo H, Kankuri E. Effects of multispecies probiotic combination on helicobacter pylori infection in vitro. <i>Clin Vaccine Immunol</i>. 2008 Sep. 15(9):1472-82; Myllyluoma E, Veijola L, Ahlroos T, Tynkkynen S, Kankuri E, Vapaatalo H, Rautelin H, Korpela R. Probiotic supplementation improves tolerance to Helicobacter pylori eradication therapy--a placebo-controlled, double-blind randomized pilot study. <i>Aliment Pharmacol Ther</i>. 2005 May 15. 21(10):1263-72.";1685;[1] is able to aggregate with pathogenic bacteria. [2] inhibit Helicobacter pyloriadhesion to a human intestinal epithelial cell line.;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00184;Bifidobacterium breve;-;Bb99 (DSM 13692);Human;Research;Immunomodulation;;Immune health;http://www.ncbi.nlm.nih.gov/pubmed/?term=18810777;Latvala S, Pietila TE, Veckman V, Kekkonen RA, Tynkkynen S, Korpela R, Julkunen I. Potentially probiotic bacteria induce efficient maturation but differential cytokine production in human monocyte-derived dendritic cells. <i>World J Gastroenterol</i>. 2008 Sep 28. 14(36):5570-83.  discussion 5581-2.;1685;Potentially probiotic bacteria are able to induce moDC maturation, but their ability to induce cytokine gene expression varies significantly from one bacterial strain to another.;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00185;Bifidobacterium breve;;Bbi99;Human;Clinical trial;Enhancement of Vaccine Responses;;Unspecified class;https://www.ncbi.nlm.nih.gov/pubmed/8675767;"Abe F, Ishibashi N, and Shimamura S. Effect of administration of Bifidobacteria and Lactic Acid Bacteria to newborn calves and piglets. <i>J. Dairy Sci.</i>. 1995; 78: 2838–2847.";1685;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00186;Bifidobacterium breve;Naturewise;BR03;Human;Marketed;Helps safely repopulate your gut with beneficial flora, and crowds out harmful bacteria;;Maintenance of human gut microenvironment;https://www.amazon.com/NatureWise-Maximum-Care-Time-Release-Probiotics/dp/B01E6C4FVM/ref=sr_1_1_s_it?s=hpc&ie=UTF8&qid=1479884641&sr=1-1&keywords=naturewise%2Bprobiotics&th=1;Amazon Website;1685;Help safely repopulate your gut with beneficial flora, and crowd out harmful bacteria;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00187;Bifidobacterium breve;-;BR03;Human;Clinical trial;Atopic dermatitis;L20;(L00-L99) Diseases of the skin and subcutaneous tissue;"http://www.ncbi.nlm.nih.gov/pubmed/?term=22955359; http://www.ncbi.nlm.nih.gov/pubmed/?term=22955355; http://www.ncbi.nlm.nih.gov/pubmed/?term=22230409";"Drago L, Toscano M, De Vecchi E, Piconi S, Iemoli E. Changing of fecal flora and clinical effect of L. salivarius LS01 in adults with atopic dermatitis. <i>J Clin Gastroenterol</i>. 2012 Oct. 46 Suppl:S56-63.; Iemoli E, Trabattoni D, Parisotto S, Borgonovo L, Toscano M, Rizzardini G, Clerici M, Ricci E, Fusi A, De Vecchi E, Piconi S, Drago L. Probiotics reduce gut microbial translocation and improve adult atopic dermatitis. <i>J Clin Gastroenterol</i>. 2012 Oct. 46 Suppl:S33-40.; Drago L, Iemoli E, Rodighiero V, Nicola L, De Vecchi E, Piconi S. Effects of Lactobacillus salivarius LS01 (DSM 22775) treatment on adult atopic dermatitis: a randomized placebo-controlled study. <i>Int J Immunopathol Pharmacol</i>. 2011 Oct-Dec. 24(4):1037-48.";1685;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00188;Bifidobacterium breve;-;C50;Human;Research;Anti-inflammatory activity;;Immune health;http://www.ncbi.nlm.nih.gov/pubmed/?term=16522473;Hoarau C, Lagaraine C, Martin L, Velge-Roussel F, Lebranchu Y. Supernatant of Bifidobacterium breve induces dendritic cell maturation, activation, and survival through a Toll-like receptor 2 pathway. <i>J Allergy Clin Immunol</i>. 2006 Mar. 117(3):696-702.;1685;Induces dendritic cell maturation, activation, and survival.;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00189;Bifidobacterium breve;Pharmax;CUL-74;Human;Marketed;Temporarily modify gut flora;;Maintenance of human gut microenvironment;https://www.amazon.com/Pharmax-Probiotic-Supplement-Vegetable-Capsules/dp/B00N4MZ6A0/ref=sr_1_5_a_it?ie=UTF8&qid=1479950661&sr=8-5&keywords=Pharmax+probiotics;Amazon Website;1685;Temporarily modify gut flora;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00190;Bifidobacterium breve;Renew Life;GPS 1303;Human;Marketed;Promotes digestive immune and colon health reduces gas and replenishes bifid lost with age;"K00-K93; N00-N99";"(K00-K93) Diseases of the digestive system; Immune health; (N00-N99) Diseases of the genitourinary system";https://www.amazon.com/Renew-Life-Ultimate-Complete-Supplement/dp/B00KNX8LVY/ref=sr_1_29_a_it?ie=UTF8&qid=1479953133&sr=8-29&keywords=Flora+probiotics;Amazon Website;1685;Promotes digestive immune and colon health reduces gas and replenishes bifid lost with age;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00191;Bifidobacterium breve;UDOs Choice;HA-120;Human;Marketed;Associated with fewer abnormal abdominal signs and better weight gain in VLBW infants;;Unspecified class;-;-;1685;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00192;Bifidobacterium breve;"UDOs Choice; Webber Naturals; Natire's Way; Vibrant Health; Dr. Whitaker; Integrative Therapeutics";HA-129;Human;Marketed;Delivers digestive support for occasional gas, bloating and constipation;K00-K93;(K00-K93) Diseases of the digestive system;https://www.amazon.com/Dr-Whitakers-Probiotic-Essentials-Bacteria/dp/B00O15Q4LO/ref=sr_1_2_s_it?s=hpc&ie=UTF8&qid=1479907986&sr=1-2&keywords=Dr.Whitaker+probiotics;Amazon Website;1685;Delivers digestive support for occasional gas, bloating and constipation;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00193;Bifidobacterium breve;Nature's Way;HDS-0129;Human;Marketed;Digestive support and immune health;K00-K93;"(K00-K93) Diseases of the digestive system; Immune health";https://www.amazon.com/Natures-Way-Primadophilus-Vegetarian-Capsules/dp/B005S6Y8OU/ref=sr_1_1_a_it?ie=UTF8&qid=1479948231&sr=8-1&keywords=Natures+Way+probiotics;Amazon Website;1685;Digestive support and immune health;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00194;Bifidobacterium breve;;I-53-8;Human;Research;Produces biotin;;Unspecified class;https://www.ncbi.nlm.nih.gov/pubmed/7931726;"Noda H, Akasaka N, and Ohsug M. Biotin production by Bifidobacteria. <i>J. Nutr. Sci.Vitaminol.</i> 1994; 40: 181–188.";1685;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00195;Bifidobacterium breve;Integrative Therapeutics;M-16V;Human;Marketed;Control of occasional gas, bloating and constipation;;Maintenance of human gut microenvironment;https://www.amazon.com/Integrative-Therapeutics-Pro-Flora-Concentrate-Technology/dp/B001PYULRW/ref=sr_1_5_s_it?s=hpc&ie=UTF8&qid=1480083207&sr=1-5&keywords=Integrative+Therapeutics+probiotic;Amazon Website;1685;Control of occasional gas, bloating and constipation;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00196;Bifidobacterium breve;-;M-16V;Human;Clinical trial;Preventes allergic diseases;L20;(L00-L99) Diseases of the skin and subcutaneous tissue;http://www.ncbi.nlm.nih.gov/pubmed/?term=25056226;Enomoto T, Sowa M, Nishimori K, Shimazu S, Yoshida A, Yamada K, Furukawa F, Nakagawa T, Yanagisawa N, Iwabuchi N, Odamaki T, Abe F, Nakayama J, Xiao JZ. Effects of bifidobacterial supplementation to pregnant women and infants in the prevention of allergy development in infants and on fecal microbiota. <i>Allergol Int</i>. 2014 Dec. 63(4):575-85.;1685;The prenatal and postnatal supplementation of bifidobacteria is effective in primary preventing allergic diseases. Some limited changes in the composition of fecal microbiota by the bifidobacterial supplementation were observed.;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00197;Bifidobacterium breve;-;M-16V;Human;Research;"Anti-inflammatory; Immune function";;Inflammation;http://www.ncbi.nlm.nih.gov/pubmed/?term=26083761;Izumi H, Minegishi M, Sato Y, Shimizu T, Sekine K, Takase M. Bifidobacterium breve alters immune function and ameliorates DSS-induced inflammation in weanling rats. <i>Pediatr Res</i>. 2015 Oct. 78(4):407-16.;1685;M16V could suppress inflammation and, therefore, can be considered a safe strain to use not only during the neonatal period but also the weaning period.;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00198;Bifidobacterium breve;-;NCC2950;Human;Research;Anti-inflammatory activity，enhance the mucosal barrier;A00-B99;"(A00-B99) Certain infectious and parasitic diseases; Inflammation";http://www.ncbi.nlm.nih.gov/pubmed/?term=24096422;Natividad JM, Hayes CL, Motta JP, Jury J, Galipeau HJ, Philip V, Garcia-Rodenas CL, Kiyama H, Bercik P, Verdu EF. Differential induction of antimicrobial REGIII by the intestinal microbiota and Bifidobacterium breve NCC2950. <i>Appl Environ Microbiol</i>. 2013 Dec. 79(24):7745-54.;1685;May enhance the mucosal barrier and protect the host from infection and inflammation.;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00199;Bifidobacterium breve;Bio-kult;PXN25 (NCIMB 30180);Human;Marketed;Supports healty digestive and immune systems;K00-K93;"(K00-K93) Diseases of the digestive system; Immune health";https://www.amazon.com/Bio-Kult-Probiotic-120-caps-Pack/dp/B00RR38ROE/ref=sr_1_6_s_it?s=hpc&ie=UTF8&qid=1480043263&sr=1-6&keywords=Bio-kult;Amazon Website;1685;Support healty digestive and immune systems;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00200;Bifidobacterium breve;"Jarrow; belle+balla";R0070;Human;Marketed;Have a positive influence on the composition of the intestinal microflora, promote intestinal health and support immune response;;"Immune health; Maintenance of human gut microenvironment";https://www.amazon.com/Jarrow-Formulas-Jarro-Dophilus-Supports-Intestinal/dp/B0013OUKTS/ref=sr_1_1_s_it?s=hpc&ie=UTF8&qid=1479910720&sr=1-1&keywords=Jarrow%2Bprobiotics&th=1;Amazon Website;1685;Have a positive influence on the composition of the intestinal microflora, promote intestinal health and support immune response;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00201;Bifidobacterium breve;"belle+bella;Jarrow";R0070;Human;Marketed;Helps displace blemish causing bacteria from within;A00-B99;"(A00-B99) Certain infectious and parasitic diseases; Skin health";https://www.amazon.com/Belle-Bella-Probiotic-Therapy-Count/dp/B00OGKW120/ref=sr_1_fkmr0_2_s_it?s=hpc&ie=UTF8&qid=1480048711&sr=1-2-fkmr0&keywords=Belle+and+Bella+R9001;Amazon Website;1685;Help displace blemish causing bacteria from within;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00202;Bifidobacterium breve;"InnovixLabs; designs for health";SD-5206;Human;Marketed;Essential and influences every aspect of health from mood, metabolism, immunity and digestive comfort;"K00-K93; E00-E90";"(K00-K93) Diseases of the digestive system; Immune health; (E00-E90) Endocrine, nutritional and metabolic diseases";https://www.amazon.com/Multi-Strain-PROBIOTIC-InnovixLabs-Broad-Spectrum/dp/B00X4U2NDK/ref=sr_1_2_s_it?s=hpc&ie=UTF8&qid=1480065584&sr=1-2&keywords=InnovixLabs;Amazon Website;1685;Essential and influences every aspect of health from mood, metabolism, immunity and digestive comfort;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00203;Bifidobacterium breve;HealthAid;THT010602;Human;Marketed;Helps enhance mens health and well being;;Immune health;https://www.amazon.com/Health-Aid-MensProbio-30-Caps/dp/B00SVRTDS4/ref=sr_1_10_s_it?s=hpc&ie=UTF8&qid=1480047570&sr=1-10&keywords=HealthAid;Amazon Website;1685;Help enhance mens health and well being;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00204;Bifidobacterium breve;-;UCC2003;Human;Research;Listeria monocytogenes infection;A32;(A00-B99) Certain infectious and parasitic diseases;http://www.ncbi.nlm.nih.gov/pubmed/?term=17906153;Sheehan VM, Sleator RD, Hill C, Fitzgerald GF. Improving gastric transit, gastrointestinal persistence and therapeutic efficacy of the probiotic strain Bifidobacterium breve UCC2003. <i>Microbiology</i>. 2007 Oct. 153(Pt 10):3563-71.;1685;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00205;Bifidobacterium breve;-;Yakult BBG-01;Human;Clinical trial;Prevents infection;;Immune health;http://www.ncbi.nlm.nih.gov/pubmed/?term=19685085;Wada M, Nagata S, Saito M, Shimizu T, Yamashiro Y, Matsuki T, Asahara T, Nomoto K. Effects of the enteral administration of Bifidobacterium breve on patients undergoing chemotherapy for pediatric malignancies. <i>Support Care Cancer</i>. 2010 Jun. 18(6):751-9.;1685;Could be an effective approach for achieving clinical benefits in immunocompromised hosts by improving their intestinal environments.;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00206;Bifidobacterium breve;Milmil ;YIT4006 ;Human;Clinical trial;Improves GI conditions Microflora and Defecation;;Maintenance of human gut microenvironment;;R Tanaka, T Kan, H Tejima, T Kuroshima, S Kodaira, S Suzuki, T Terashima, M Mutai. Bifidobacterium Interplantation –intake for B. bifidum 4006 or B. breve 4007 (in Japanese). <i>Jpn. J. Clin. Pediatr.</i>, 33:2483–2492, 1980.;1685;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00207;Bifidobacterium breve;;YIT4064;Human;Research;Enhances antigen specific IgA antibody directed against rotavirus in the mouse mammary gland protecting pups that receive milk against rotavirus challenge;A00-B99;(A00-B99) Certain infectious and parasitic diseases;https://www.ncbi.nlm.nih.gov/pubmed/7622883;" Yasui H, Kiyoshima J, Ushijima H. Passive protection against rotavirus-induced diarrhea of mouse pups born to and nursed by dams fed Bifidobacterium breve YIT4064. <i>J Infect Dis.</i>. 1995;172:403–9.";1685;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/1273;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00208;Bifidobacterium catenulatum;-;-;Human;Research;"Immunostimulatory effect; Production of folates";;Immune health;https://www.ncbi.nlm.nih.gov/pubmed/?term=Immunostimulatory+effect+of+faecal+Bifidobacterium+species+of+breast-fed+and+formula-fed+infants+in+a+peripheral+blood+mononuclear+cell%2FCaco-2+co-culture+system;"Pozo-Rubio T, Mujico JR, Marcos A, Puertollano E, Nadal I, Sanz Y, Nova E. Immunostimulatory effect of faecal Bifidobacterium species of breast-fed and formula-fed infants in a peripheral blood mononuclear cell/Caco-2 co-culture system. <i>Br J Nutr</i>. 2011 Oct. 106(8):1216-23.; Luca Mogna, Giovanni Mogna. Innovative probiotics and systemic bioactive metabolites. Anti-ageing potential. <i>Nutrafoods</i>. 2012 Dec. 11(4):151-164";1686;"Influence the balance of immune responses in the intestinal mucosa;production of folates.";http://www.ncbi.nlm.nih.gov/genome/2078;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
Probio_H_00209;Bifidobacterium dentium;-;-;Human;Research;Crohn's disease;K50;(K00-K93) Diseases of the digestive system;http://www.medicalnewstoday.com/releases/246708.php;Potential Link Between Intestinal Bacteria And Inflammation. <i>2012 General Meeting of the American Society for Microbiology</i>. Tuesday 19 June 2012;1689;"Secreting large amounts of gamma-aminobutyric acid (GABA), a major inhibitory neurotransmitter in the central and enteric nervous systems; an inhibitory role in inflammation.";http://www.ncbi.nlm.nih.gov/genome/809;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Actinobacteria]; [class:Actinobacteria]; [order:Bifidobacteriales]; [family:Bifidobacteriaceae]; [genus:Bifidobacterium]"
